board,date,hotel,price,rate,room
Desayuno,2022-06-12,Hotel 1,151,No Reembolsable,Junior Suite
Media Pension,2022-06-12,Hotel 1,152,Reembolsable,Doble
Solo Alojamiento,2022-06-12,Hotel 1,127,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-12,Hotel 1,99,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-12,Hotel 1,85,No Reembolsable,Suite
Media Pension,2022-06-12,Hotel 1,147,No Reembolsable,Junior Suite
Media Pension,2022-06-12,Hotel 1,100,Reembolsable,Triple
Pension Completa,2022-06-13,Hotel 1,161,Reembolsable,Triple
Solo Alojamiento,2022-06-13,Hotel 1,132,No Reembolsable,Junior Suite
Pension Completa,2022-06-13,Hotel 1,110,Reembolsable,Suite
Media Pension,2022-06-13,Hotel 1,104,No Reembolsable,Junior Suite
Todo Incluido,2022-06-13,Hotel 1,185,No Reembolsable,Suite
Todo Incluido,2022-06-13,Hotel 1,146,Reembolsable,Individual
Desayuno,2022-06-13,Hotel 1,157,Reembolsable,Junior Suite
Media Pension,2022-06-13,Hotel 1,125,No Reembolsable,Individual
Pension Completa,2022-06-13,Hotel 1,83,No Reembolsable,Triple
Todo Incluido,2022-06-14,Hotel 1,184,Reembolsable,Suite
Media Pension,2022-06-14,Hotel 1,90,Reembolsable,Junior Suite
Media Pension,2022-06-14,Hotel 1,130,No Reembolsable,Suite
Todo Incluido,2022-06-14,Hotel 1,196,Reembolsable,Triple
Desayuno,2022-06-14,Hotel 1,103,Reembolsable,Doble
Solo Alojamiento,2022-06-14,Hotel 1,142,No Reembolsable,Suite
Desayuno,2022-06-14,Hotel 1,136,No Reembolsable,Junior Suite
Pension Completa,2022-06-14,Hotel 1,87,No Reembolsable,Doble
Media Pension,2022-06-14,Hotel 1,82,Reembolsable,Doble
Pension Completa,2022-06-15,Hotel 1,192,Reembolsable,Suite
Media Pension,2022-06-15,Hotel 1,95,Reembolsable,Suite
Solo Alojamiento,2022-06-15,Hotel 1,117,No Reembolsable,Suite
Media Pension,2022-06-15,Hotel 1,109,Reembolsable,Individual
Media Pension,2022-06-15,Hotel 1,162,No Reembolsable,Suite
Media Pension,2022-06-15,Hotel 1,101,Reembolsable,Suite
Solo Alojamiento,2022-06-15,Hotel 1,180,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-15,Hotel 1,138,No Reembolsable,Individual
Desayuno,2022-06-15,Hotel 1,187,No Reembolsable,Suite
Todo Incluido,2022-06-16,Hotel 1,152,Reembolsable,Doble
Todo Incluido,2022-06-16,Hotel 1,191,Reembolsable,Suite
Media Pension,2022-06-16,Hotel 1,145,Reembolsable,Suite
Todo Incluido,2022-06-16,Hotel 1,168,Reembolsable,Suite
Pension Completa,2022-06-16,Hotel 1,194,Reembolsable,Individual
Solo Alojamiento,2022-06-16,Hotel 1,198,Reembolsable,Doble
Pension Completa,2022-06-16,Hotel 1,123,No Reembolsable,Junior Suite
Media Pension,2022-06-16,Hotel 1,87,Reembolsable,Triple
Pension Completa,2022-06-16,Hotel 1,71,Reembolsable,Triple
Media Pension,2022-06-17,Hotel 1,191,Reembolsable,Individual
Solo Alojamiento,2022-06-17,Hotel 1,120,Reembolsable,Suite
Desayuno,2022-06-17,Hotel 1,177,No Reembolsable,Suite
Desayuno,2022-06-17,Hotel 1,188,No Reembolsable,Triple
Solo Alojamiento,2022-06-17,Hotel 1,198,No Reembolsable,Triple
Media Pension,2022-06-17,Hotel 1,175,Reembolsable,Suite
Desayuno,2022-06-17,Hotel 1,152,No Reembolsable,Junior Suite
Media Pension,2022-06-17,Hotel 1,128,No Reembolsable,Junior Suite
Todo Incluido,2022-06-17,Hotel 1,114,Reembolsable,Individual
Todo Incluido,2022-06-18,Hotel 1,159,No Reembolsable,Suite
Desayuno,2022-06-18,Hotel 1,133,No Reembolsable,Junior Suite
Todo Incluido,2022-06-18,Hotel 1,188,Reembolsable,Triple
Desayuno,2022-06-18,Hotel 1,74,No Reembolsable,Individual
Media Pension,2022-06-18,Hotel 1,148,No Reembolsable,Individual
Todo Incluido,2022-06-18,Hotel 1,145,No Reembolsable,Doble
Desayuno,2022-06-18,Hotel 1,108,No Reembolsable,Doble
Solo Alojamiento,2022-06-18,Hotel 1,135,Reembolsable,Junior Suite
Todo Incluido,2022-06-18,Hotel 1,192,No Reembolsable,Junior Suite
Desayuno,2022-06-19,Hotel 1,147,Reembolsable,Junior Suite
Pension Completa,2022-06-19,Hotel 1,188,Reembolsable,Suite
Todo Incluido,2022-06-19,Hotel 1,151,Reembolsable,Doble
Desayuno,2022-06-19,Hotel 1,178,No Reembolsable,Triple
Solo Alojamiento,2022-06-19,Hotel 1,172,Reembolsable,Suite
Todo Incluido,2022-06-19,Hotel 1,112,No Reembolsable,Triple
Pension Completa,2022-06-19,Hotel 1,98,No Reembolsable,Junior Suite
Todo Incluido,2022-06-19,Hotel 1,119,No Reembolsable,Doble
Solo Alojamiento,2022-06-19,Hotel 1,130,Reembolsable,Suite
Solo Alojamiento,2022-06-20,Hotel 1,116,Reembolsable,Junior Suite
Media Pension,2022-06-20,Hotel 1,162,No Reembolsable,Doble
Media Pension,2022-06-20,Hotel 1,191,Reembolsable,Junior Suite
Todo Incluido,2022-06-20,Hotel 1,199,Reembolsable,Junior Suite
Desayuno,2022-06-20,Hotel 1,183,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-20,Hotel 1,95,No Reembolsable,Individual
Pension Completa,2022-06-20,Hotel 1,134,No Reembolsable,Suite
Media Pension,2022-06-20,Hotel 1,87,No Reembolsable,Doble
Solo Alojamiento,2022-06-20,Hotel 1,161,Reembolsable,Doble
Desayuno,2022-06-21,Hotel 1,179,No Reembolsable,Junior Suite
Media Pension,2022-06-21,Hotel 1,103,Reembolsable,Junior Suite
Desayuno,2022-06-21,Hotel 1,199,No Reembolsable,Junior Suite
Desayuno,2022-06-21,Hotel 1,76,No Reembolsable,Junior Suite
Media Pension,2022-06-21,Hotel 1,169,Reembolsable,Doble
Todo Incluido,2022-06-21,Hotel 1,102,Reembolsable,Individual
Media Pension,2022-06-21,Hotel 1,153,No Reembolsable,Triple
Pension Completa,2022-06-21,Hotel 1,185,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-21,Hotel 1,163,Reembolsable,Doble
Solo Alojamiento,2022-06-22,Hotel 1,89,No Reembolsable,Suite
Desayuno,2022-06-22,Hotel 1,104,Reembolsable,Individual
Pension Completa,2022-06-22,Hotel 1,195,Reembolsable,Triple
Media Pension,2022-06-22,Hotel 1,128,No Reembolsable,Junior Suite
Media Pension,2022-06-22,Hotel 1,186,Reembolsable,Individual
Pension Completa,2022-06-22,Hotel 1,98,No Reembolsable,Doble
Pension Completa,2022-06-22,Hotel 1,159,No Reembolsable,Triple
Desayuno,2022-06-22,Hotel 1,128,No Reembolsable,Doble
Solo Alojamiento,2022-06-22,Hotel 1,144,No Reembolsable,Junior Suite
Desayuno,2022-06-23,Hotel 1,191,No Reembolsable,Doble
Solo Alojamiento,2022-06-23,Hotel 1,172,No Reembolsable,Doble
Solo Alojamiento,2022-06-23,Hotel 1,119,Reembolsable,Junior Suite
Desayuno,2022-06-23,Hotel 1,124,No Reembolsable,Doble
Media Pension,2022-06-23,Hotel 1,105,Reembolsable,Suite
Solo Alojamiento,2022-06-23,Hotel 1,177,Reembolsable,Triple
Solo Alojamiento,2022-06-23,Hotel 1,157,Reembolsable,Triple
Pension Completa,2022-06-23,Hotel 1,161,Reembolsable,Junior Suite
Pension Completa,2022-06-23,Hotel 1,79,Reembolsable,Junior Suite
Media Pension,2022-06-24,Hotel 1,86,No Reembolsable,Individual
Solo Alojamiento,2022-06-24,Hotel 1,88,No Reembolsable,Doble
Desayuno,2022-06-24,Hotel 1,128,Reembolsable,Triple
Desayuno,2022-06-24,Hotel 1,146,Reembolsable,Doble
Pension Completa,2022-06-24,Hotel 1,111,No Reembolsable,Triple
Media Pension,2022-06-24,Hotel 1,199,Reembolsable,Suite
Media Pension,2022-06-24,Hotel 1,165,Reembolsable,Suite
Pension Completa,2022-06-24,Hotel 1,180,Reembolsable,Individual
Desayuno,2022-06-24,Hotel 1,77,Reembolsable,Individual
Solo Alojamiento,2022-06-25,Hotel 1,151,Reembolsable,Triple
Desayuno,2022-06-25,Hotel 1,71,No Reembolsable,Junior Suite
Pension Completa,2022-06-25,Hotel 1,129,Reembolsable,Suite
Pension Completa,2022-06-25,Hotel 1,174,Reembolsable,Triple
Solo Alojamiento,2022-06-25,Hotel 1,187,Reembolsable,Triple
Media Pension,2022-06-25,Hotel 1,80,Reembolsable,Triple
Pension Completa,2022-06-25,Hotel 1,89,Reembolsable,Triple
Pension Completa,2022-06-25,Hotel 1,166,Reembolsable,Doble
Media Pension,2022-06-25,Hotel 1,156,No Reembolsable,Individual
Desayuno,2022-06-26,Hotel 1,89,No Reembolsable,Suite
Pension Completa,2022-06-26,Hotel 1,192,Reembolsable,Junior Suite
Todo Incluido,2022-06-26,Hotel 1,145,No Reembolsable,Individual
Pension Completa,2022-06-26,Hotel 1,96,Reembolsable,Junior Suite
Solo Alojamiento,2022-06-26,Hotel 1,169,Reembolsable,Junior Suite
Todo Incluido,2022-06-26,Hotel 1,87,Reembolsable,Doble
Todo Incluido,2022-06-26,Hotel 1,74,Reembolsable,Individual
Pension Completa,2022-06-26,Hotel 1,197,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-26,Hotel 1,86,Reembolsable,Triple
Media Pension,2022-06-27,Hotel 1,160,No Reembolsable,Doble
Todo Incluido,2022-06-27,Hotel 1,161,Reembolsable,Doble
Media Pension,2022-06-27,Hotel 1,121,No Reembolsable,Junior Suite
Media Pension,2022-06-27,Hotel 1,81,Reembolsable,Junior Suite
Desayuno,2022-06-27,Hotel 1,107,Reembolsable,Doble
Desayuno,2022-06-27,Hotel 1,192,No Reembolsable,Triple
Pension Completa,2022-06-27,Hotel 1,170,Reembolsable,Suite
Pension Completa,2022-06-27,Hotel 1,187,No Reembolsable,Doble
Desayuno,2022-06-27,Hotel 1,72,No Reembolsable,Triple
Media Pension,2022-06-28,Hotel 1,112,No Reembolsable,Doble
Todo Incluido,2022-06-28,Hotel 1,199,No Reembolsable,Individual
Solo Alojamiento,2022-06-28,Hotel 1,178,Reembolsable,Individual
Pension Completa,2022-06-28,Hotel 1,180,Reembolsable,Suite
Todo Incluido,2022-06-28,Hotel 1,193,No Reembolsable,Doble
Desayuno,2022-06-28,Hotel 1,154,No Reembolsable,Junior Suite
Solo Alojamiento,2022-06-28,Hotel 1,92,Reembolsable,Junior Suite
Desayuno,2022-06-28,Hotel 1,113,Reembolsable,Triple
Media Pension,2022-06-28,Hotel 1,177,No Reembolsable,Individual
Todo Incluido,2022-06-29,Hotel 1,176,Reembolsable,Suite
Solo Alojamiento,2022-06-29,Hotel 1,109,No Reembolsable,Suite
Todo Incluido,2022-06-29,Hotel 1,146,No Reembolsable,Doble
Pension Completa,2022-06-29,Hotel 1,153,No Reembolsable,Triple
Solo Alojamiento,2022-06-29,Hotel 1,80,No Reembolsable,Doble
Desayuno,2022-06-29,Hotel 1,94,Reembolsable,Triple
Media Pension,2022-06-29,Hotel 1,70,Reembolsable,Doble
Todo Incluido,2022-06-29,Hotel 1,143,No Reembolsable,Junior Suite
Desayuno,2022-06-29,Hotel 1,74,No Reembolsable,Individual
Media Pension,2022-06-30,Hotel 1,185,No Reembolsable,Suite
Todo Incluido,2022-06-30,Hotel 1,173,Reembolsable,Suite
Pension Completa,2022-06-30,Hotel 1,177,No Reembolsable,Individual
Pension Completa,2022-06-30,Hotel 1,81,Reembolsable,Suite
Todo Incluido,2022-06-30,Hotel 1,181,No Reembolsable,Doble
Pension Completa,2022-06-30,Hotel 1,200,No Reembolsable,Doble
Pension Completa,2022-06-30,Hotel 1,88,Reembolsable,Suite
Todo Incluido,2022-06-30,Hotel 1,95,No Reembolsable,Suite
Desayuno,2022-06-30,Hotel 1,95,No Reembolsable,Individual
Pension Completa,2022-07-01,Hotel 1,72,Reembolsable,Doble
Todo Incluido,2022-07-01,Hotel 1,143,No Reembolsable,Junior Suite
Solo Alojamiento,2022-07-01,Hotel 1,91,Reembolsable,Triple
Desayuno,2022-07-01,Hotel 1,192,Reembolsable,Doble
Todo Incluido,2022-07-01,Hotel 1,120,No Reembolsable,Doble
Media Pension,2022-07-01,Hotel 1,168,No Reembolsable,Junior Suite
Todo Incluido,2022-07-01,Hotel 1,90,Reembolsable,Suite
Pension Completa,2022-07-01,Hotel 1,171,Reembolsable,Individual
Media Pension,2022-07-01,Hotel 1,94,Reembolsable,Suite
Todo Incluido,2022-07-02,Hotel 1,142,Reembolsable,Individual
Pension Completa,2022-07-02,Hotel 1,188,Reembolsable,Triple
Solo Alojamiento,2022-07-02,Hotel 1,95,No Reembolsable,Triple
Media Pension,2022-07-02,Hotel 1,85,No Reembolsable,Suite
Media Pension,2022-07-02,Hotel 1,143,Reembolsable,Doble
Media Pension,2022-07-02,Hotel 1,162,No Reembolsable,Triple
Desayuno,2022-07-02,Hotel 1,133,No Reembolsable,Triple
Todo Incluido,2022-07-02,Hotel 1,146,Reembolsable,Suite
Media Pension,2022-07-02,Hotel 1,120,Reembolsable,Triple
Media Pension,2022-07-03,Hotel 1,185,Reembolsable,Junior Suite
Media Pension,2022-07-03,Hotel 1,152,Reembolsable,Individual
Pension Completa,2022-07-03,Hotel 1,124,Reembolsable,Individual
Media Pension,2022-07-03,Hotel 1,184,Reembolsable,Suite
Todo Incluido,2022-07-03,Hotel 1,123,No Reembolsable,Triple
Media Pension,2022-07-03,Hotel 1,104,No Reembolsable,Suite
Pension Completa,2022-07-03,Hotel 1,153,Reembolsable,Junior Suite
Todo Incluido,2022-07-03,Hotel 1,92,Reembolsable,Suite
Media Pension,2022-07-03,Hotel 1,191,No Reembolsable,Triple
Desayuno,2022-07-04,Hotel 1,173,No Reembolsable,Doble
Solo Alojamiento,2022-07-04,Hotel 1,115,No Reembolsable,Suite
Desayuno,2022-07-04,Hotel 1,186,Reembolsable,Junior Suite
Todo Incluido,2022-07-04,Hotel 1,157,Reembolsable,Doble
Todo Incluido,2022-07-04,Hotel 1,168,No Reembolsable,Individual
Solo Alojamiento,2022-07-04,Hotel 1,99,No Reembolsable,Suite
Solo Alojamiento,2022-07-04,Hotel 1,139,Reembolsable,Suite
Todo Incluido,2022-07-04,Hotel 1,117,Reembolsable,Junior Suite
Desayuno,2022-07-04,Hotel 1,161,Reembolsable,Doble
Desayuno,2022-07-05,Hotel 1,117,Reembolsable,Junior Suite
Pension Completa,2022-07-05,Hotel 1,191,No Reembolsable,Individual
Todo Incluido,2022-07-05,Hotel 1,111,No Reembolsable,Junior Suite
Pension Completa,2022-07-05,Hotel 1,193,No Reembolsable,Suite
Todo Incluido,2022-07-05,Hotel 1,155,Reembolsable,Junior Suite
Solo Alojamiento,2022-07-05,Hotel 1,70,No Reembolsable,Triple
Todo Incluido,2022-07-05,Hotel 1,137,Reembolsable,Doble
Desayuno,2022-07-05,Hotel 1,150,Reembolsable,Junior Suite
Desayuno,2022-07-05,Hotel 1,198,Reembolsable,Junior Suite
Solo Alojamiento,2022-07-06,Hotel 1,95,No Reembolsable,Triple
Solo Alojamiento,2022-07-06,Hotel 1,74,Reembolsable,Suite
Media Pension,2022-07-06,Hotel 1,200,Reembolsable,Junior Suite
Desayuno,2022-07-06,Hotel 1,84,No Reembolsable,Junior Suite
Todo Incluido,2022-07-06,Hotel 1,153,No Reembolsable,Individual
Media Pension,2022-07-06,Hotel 1,195,Reembolsable,Doble
Media Pension,2022-07-06,Hotel 1,90,No Reembolsable,Suite
Pension Completa,2022-07-06,Hotel 1,135,No Reembolsable,Junior Suite
Media Pension,2022-07-06,Hotel 1,158,Reembolsable,Suite
Desayuno,2022-07-07,Hotel 1,83,Reembolsable,Suite
Pension Completa,2022-07-07,Hotel 1,107,No Reembolsable,Junior Suite
Solo Alojamiento,2022-07-07,Hotel 1,71,No Reembolsable,Triple
Todo Incluido,2022-07-07,Hotel 1,145,Reembolsable,Suite
Desayuno,2022-07-07,Hotel 1,133,Reembolsable,Suite
Pension Completa,2022-07-07,Hotel 1,144,Reembolsable,Suite
Solo Alojamiento,2022-07-07,Hotel 1,182,No Reembolsable,Doble
Solo Alojamiento,2022-07-07,Hotel 1,169,No Reembolsable,Triple
Pension Completa,2022-07-07,Hotel 1,128,No Reembolsable,Individual
Todo Incluido,2022-07-08,Hotel 1,122,Reembolsable,Junior Suite
Media Pension,2022-07-08,Hotel 1,193,No Reembolsable,Doble
Pension Completa,2022-07-08,Hotel 1,79,Reembolsable,Triple
Desayuno,2022-07-08,Hotel 1,87,No Reembolsable,Triple
Pension Completa,2022-07-08,Hotel 1,154,No Reembolsable,Junior Suite
Pension Completa,2022-07-08,Hotel 1,190,No Reembolsable,Junior Suite
Desayuno,2022-07-08,Hotel 1,102,No Reembolsable,Triple
Media Pension,2022-07-08,Hotel 1,89,No Reembolsable,Individual
Todo Incluido,2022-07-08,Hotel 1,128,Reembolsable,Doble
Todo Incluido,2022-07-09,Hotel 1,164,Reembolsable,Doble
Media Pension,2022-07-09,Hotel 1,167,No Reembolsable,Triple
Pension Completa,2022-07-09,Hotel 1,89,No Reembolsable,Junior Suite
Solo Alojamiento,2022-07-09,Hotel 1,74,Reembolsable,Doble
Pension Completa,2022-07-09,Hotel 1,174,Reembolsable,Doble
Solo Alojamiento,2022-07-09,Hotel 1,115,No Reembolsable,Individual
Media Pension,2022-07-09,Hotel 1,115,No Reembolsable,Triple
Media Pension,2022-07-09,Hotel 1,166,No Reembolsable,Individual
Desayuno,2022-07-09,Hotel 1,101,Reembolsable,Individual
Desayuno,2022-07-10,Hotel 1,87,Reembolsable,Triple
Pension Completa,2022-07-10,Hotel 1,145,No Reembolsable,Triple
Todo Incluido,2022-07-10,Hotel 1,104,Reembolsable,Individual
Pension Completa,2022-07-10,Hotel 1,178,No Reembolsable,Suite
Media Pension,2022-07-10,Hotel 1,140,Reembolsable,Doble
Todo Incluido,2022-07-10,Hotel 1,163,Reembolsable,Triple
Solo Alojamiento,2022-07-10,Hotel 1,200,Reembolsable,Individual
Desayuno,2022-07-10,Hotel 1,120,No Reembolsable,Individual
Pension Completa,2022-07-10,Hotel 1,112,Reembolsable,Doble
Todo Incluido,2022-07-11,Hotel 1,190,No Reembolsable,Individual
Desayuno,2022-07-11,Hotel 1,176,Reembolsable,Doble
Solo Alojamiento,2022-07-11,Hotel 1,158,No Reembolsable,Triple
Media Pension,2022-07-11,Hotel 1,133,Reembolsable,Suite
Solo Alojamiento,2022-07-11,Hotel 1,172,Reembolsable,Suite
Todo Incluido,2022-07-11,Hotel 1,177,No Reembolsable,Suite
Desayuno,2022-07-11,Hotel 1,140,Reembolsable,Doble
Desayuno,2022-07-11,Hotel 1,109,No Reembolsable,Doble
Desayuno,2022-07-11,Hotel 1,90,No Reembolsable,Individual
Todo Incluido,2022-07-12,Hotel 1,173,Reembolsable,Individual
Desayuno,2022-07-12,Hotel 1,135,No Reembolsable,Junior Suite
Desayuno,2022-07-12,Hotel 1,182,No Reembolsable,Suite
Media Pension,2022-07-12,Hotel 1,195,No Reembolsable,Individual
Media Pension,2022-07-12,Hotel 1,71,Reembolsable,Triple
Todo Incluido,2022-07-12,Hotel 1,129,Reembolsable,Individual
Media Pension,2022-07-12,Hotel 1,112,Reembolsable,Triple
Todo Incluido,2022-07-12,Hotel 1,100,No Reembolsable,Junior Suite
Todo Incluido,2022-07-12,Hotel 1,125,No Reembolsable,Junior Suite
Pension Completa,2022-07-13,Hotel 1,168,No Reembolsable,Junior Suite
Pension Completa,2022-07-13,Hotel 1,88,Reembolsable,Doble
Desayuno,2022-07-13,Hotel 1,155,No Reembolsable,Suite
Todo Incluido,2022-07-13,Hotel 1,166,No Reembolsable,Individual
Pension Completa,2022-07-13,Hotel 1,120,Reembolsable,Doble
Pension Completa,2022-07-13,Hotel 1,107,No Reembolsable,Individual
Solo Alojamiento,2022-07-13,Hotel 1,135,Reembolsable,Triple
Solo Alojamiento,2022-07-13,Hotel 1,102,No Reembolsable,Junior Suite
Todo Incluido,2022-07-13,Hotel 1,132,No Reembolsable,Suite
Media Pension,2022-07-14,Hotel 1,181,Reembolsable,Suite
Desayuno,2022-07-14,Hotel 1,182,Reembolsable,Individual
Solo Alojamiento,2022-07-14,Hotel 1,81,No Reembolsable,Triple
Solo Alojamiento,2022-07-14,Hotel 1,74,No Reembolsable,Individual
Media Pension,2022-07-14,Hotel 1,200,Reembolsable,Individual
